key,5,6
#,Name,Description
offset,0,4
Int32,String,String
0,,
1,柯坦拉姆·布勞菲斯特辛,來自利姆薩·羅敏薩的探險家。在第六星曆1497年以十幾歲的年紀率領探險隊出航，計劃向西航行抵達遠東之國。經過漫長的航海，雖然未能達成最初目標，卻意外抵達了圖拉爾大陸。此後他在內陸地區探險時造訪瑪穆克，謁見了當時的聯王。年輕的古魯加加與他建立了深厚友誼，兩人共同投身於諸多冒險。即便年邁，他仍保持著旺盛的探索欲，最終主導策劃了死亡三角區的探查計劃。
2,幻境村,坐落於新月島東端的寂靜小鎮。雖然石砌建築已顯古舊卻未至傾頹，暗示著此地仍在某種力量的管轄之下。然而鎮上既無居民蹤影，亦無生活痕跡，處處透著謎團。更詭異的是近海處沉沒著多艘船隻，它們都以不自然的姿態擱淺，彷彿試圖逃離島嶼時遭遇不測——這番景象為水手們「有去無回」的駭人傳聞增添了現實佐證。
3,檔案,從幻境村的詭異石棺中甦醒的異形存在。其形貌雖似傳說中的魔物「冬貝利」，卻表現出理性與友善。儘管自稱「博識老者」，但或因長眠初醒神志不清，又或受某種封印制約，目前尚無法順暢地吐露所知。當它主動向準備探查新月島的冒險者及柯坦拉姆提出協助時，便就此結成了同行之誼。
4,艾莉絲,小仙女型使魔。在檔案剛甦醒時便現身，告知其知識被施加了封印，因此只能根據冒險者親眼所見的事物進行解說。即便被問及自身使命也只會回答「不知道」，存在諸多謎團。但據檔案所言，從艾莉絲身上能感知到與覆蓋新月島全境的魔法結界相同的乙太。看來她的召喚者很可能正是統治這座島嶼的幕後之人。
5,調查隊營地,調查隊在新月島南部設立的基地，以此作為活動據點。周邊殘留著關口遺跡，除圓塔與城門外還築有簡易圍牆，能有效防範魔物侵襲。更難得的是，此處保留著具有乙太之晶功效的魔路，為調查隊提供了極大便利。其建築風格雖與幻境村相似，但建造者與年代皆無從考證。或許在遙遠的過去，也曾有無數島民在此川流不息？
6,輔助職業,從新月島遺留的結晶片（通稱「靈魂碎晶」）中繼承的古代戰鬥技術與魔法體系。這些知識似乎與覆蓋全島的魔法結界相互聯動，無法被帶離島嶼。反過來說，只要在島內，冒險者就能暫時繼承這些結晶片中封存的古代戰士與魔法師們的記憶，施展他們的戰技與魔法。在檔案的引導下，這些靈魂碎晶成為了探索島嶼的重要助力。
7,圓頂城塞,這座由無數大小各異的石頭堆砌而成的巨大城塞，與新月島上發現的諸多遺跡同樣杳無人跡，處處可見歲月侵蝕的痕跡。其建築風格中頻繁出現的菱形格紋裝飾和獨特圓頂，與黑衣森林發現的魔法城邦「無限城」遺跡高度相似。更值得注意的是，那些如守衛般徘徊在建築群周圍的石像型使魔，恰恰符合無限城文明的典型特徵。
8,金錢龜,這種以巨型陸龜為基礎創造的使魔，似乎被魔法賦予了足以理解人類語言的智慧，然而這份智慧卻用在了強迫遭遇者進行交易上。更棘手的是，它兜售的盡是些施加了詛咒的邪物。雖不明島主創造此類使魔的用意，但其與「詛咒」的密切關聯，令人聯想到曾在基拉巴尼亞地區興盛一時的斯卡拉文明。
9,幻境灘,在新月島南部有一處面向內灣的海灘。據說在晴朗的日子裡，遠方有時會隱約出現如同海市蜃樓般的兩歧塔。殘留在海灘上的遺跡中可見與幻境村相同的倒圓錐形結構，這與第五星曆時代存在於威爾布蘭德島上的海洋城邦「尼姆」的建築風格相符。不過，幻境村的建築以實用功能為主，而此處的遺跡則以圓形廣場為中心，構造更似宗教設施。
10,尼姆瓣齒鯊,在海洋城邦「尼姆」，流傳著關於一種奇異的「長有手足的鯊魚」的神話。某位博物學家曾長期主張，這個神話只是對現實中「能用鰭像四肢一樣在海底爬行的鯊魚」的誇張演繹，世上根本不可能存在真正長著四肢的鯊魚——直到瓣齒鯊被目擊為止……順帶一提，不知是真是假，據說它們一旦認可對方為朋友就絕不會捕食，但迄今為止，尚未有任何善人能成功與它們締結友誼。
11,撒嬌罐,一種會不分場合死纏爛打討要聖靈藥的奇妙生物——魔法罐。雖說博物學上將其歸類為咒具綱魔物，但它們的生態習性至今成謎，甚至有學者私下提出「它們其實是類似小魔精的妖異」這樣的異端學說，相關爭議從未停歇。至於它們執著於聖靈藥的原因更是眾說紛紜：有認為是作為養分攝取的，也有主張純粹是享受刁難他人的樂趣……究竟真相大白之日是否會來臨呢？
12,南部丘陵,新月島南部延展著平緩的丘陵地帶。由於缺乏高大茂密的植被，鮮有藏身之處，唯有那些不懼肉食猛獸威脅的龐然大物，才能在這片區域悠然徘徊。值得注意的是，丘陵中央可見一座涼亭式建築，其地面鐫刻著宛如魔法陣的紋樣——這或許正是維持新月島魔法結界，以及生成掩蓋島嶼方位的海市蜃樓等大型法術的基點所在。
13,岩窟後街,存在於新月島南部山脈的水晶洞窟深處的城邦遺跡。其大量採用獨特尖頭拱頂的建築風格，與第五星曆時代基拉巴尼亞地區興起的石造城邦「斯卡拉」極為相似。值得一提的是，斯卡拉城中心在第六靈災引發的大洪水中沉入鹽湖湖底，而據傳該城原本就是依循風蝕岩層的走向開鑿而成的。再看眼前這座遺跡的結構，正與這一傳說完美吻合。
14,神秘土偶,出沒於岩窟後街的陶瓷人偶。雖為陶製卻擁有驚人的強度，其腹腔內更鐫刻著召喚魔紋，能視情況喚出妖異或魔具。基拉巴尼亞自古以來便是東方貿易樞紐，此類人偶經由近東流入，本是異國秘術的產物。雖然當年斯卡拉人使用了該類人偶，但並未掌握製作之法，如今製法已失傳。
15,禁忌廢都,島嶼南端延展著壯麗的城邦遺跡群，其中最引人注目的莫過於那座即使遠眺也清晰可見的巨型金字塔。此類建築中，曾繁榮於亞菲姆地區的魔法城邦「瑪哈」的遺跡最為著名。然而歷經魔大戰與第六靈災後，因瑪哈所擅長的黑魔法與妖異召喚知識被視為禁忌，如今已鮮少有人造訪亞菲姆。而這座廢都之中，是否同樣沉眠著那些遭禁的知識呢？
16,黑陸行鳥,在黑色羽毛的陸行鳥中，最為人熟知的是能夠飛行的「飛行種」，但這是經過漫長品種改良的產物，野生環境中基本難覓其蹤。然而新月島上卻有成群的黑陸行鳥四處奔馳，與魔物們爭奪領地，究竟是某處陸行鳥牧場的逃逸個體跨海而來？還是被人刻意帶來的群體在此自行繁衍？謎團始終未解。
17,新月狂戰士,禁忌廢都中徘徊的巨人。與周遭奇形怪狀的妖異不同，它形似人類卻無靈魂，狀態更加接近於屍鬼，很可能是通過向人工培育的軀殼灌注乙太而製成的特殊使魔。藉助靈魂碎晶的強制傳承，它雖不具備高等智慧，卻能完美復現古代狂戰士的戰技，並依循被灌注的憤怒本能持續戰鬥。
18,古樹濕原,古樹參天的濕地區域。新月島南部不僅散落著宛如從不同文明截取而來的遺跡，連植被分布也充滿反常之處。譬如這片濕地中矗立著樹齡逾千年的古木，卻絕非蒼茫洋孤島該有的原生樹種。由此只能推斷，這些古樹是從遠方移植而來。然而，究竟為何要不惜代價改造此地的生態環境？至今仍是無解之謎。
19,階梯殿堂,這座由層層階梯構築的多層建築，其風格與任何已知文明都迥然相異。據傳第五星曆時代曾存在被稱為「魔法十二城邦」的十二個城邦國家，彼此爭霸抗衡，而眼前的遺跡或許就源自其中某個城邦文化。值得一提的是，建築上點綴的靛藍色，相傳正是十二城邦中某個神聖城邦的尊崇之色，然而該城邦遺跡至今未被發現，無從考證比較。
20,迴廊惡魔,階梯殿堂中封印的大妖異。與妖異締結契約加以驅使的術法自古有之，其部分技法至今仍有傳承。召喚妖異的用途不僅限於充當戰力，通過借用其權能賦予召喚者異能，或令其製作咒具等，可謂千變萬化。眼前這尊妖異想必也曾受島主召喚，以在現世獲得肉身與乙太供品為交換，被迫在新月島執行某項使命。
21,高層住宅遺址,金字塔山麓延展的街區遺跡中，林立著清一色超過五層的住宅群，這與第五星曆末期瑪哈盛行的建築樣式完全吻合。當時瑪哈的魔法師們為躲避預言中的大洪水，正致力於建造人工浮島這一宏圖偉業，高層建築技術便是在此過程中得以精進。這種技術旨在讓更多民眾棲身於有限的浮島土地，諸如在建材表面鐫刻魔紋以增強強度等工藝，似乎已在當時投入實用。
22,巨像兵工房遺址,這座疑似用於製造石像兵——即所謂「巨像兵」的工房設施，見證了無限城與瑪哈的魔法對抗史。為抵禦瑪哈魔法師驅使的妖異，無限城不斷精進以石像為媒介的使魔製造技術。早期的製品大多造型簡陋，但隨著時代演化，逐漸能打造出人像、獅像等精巧石雕。及至第五星曆末期，其創作主題更演變為有翼人、有翼獅等幻想生物。這段技術演變史，恰是兩座魔法城邦博弈的縮影。
