key,0
#,
offset,0
int32,str
0,
1,ûa »s§@³q¥Î«¬ÅÖºûªO
2,ûa Äw³Æ¾ÚÂI¥~¤u§@©Ò»Ýªº¿U®Æ
3,ûa »s§@±Ä¶°©Ò»Ýªº¹¢«~
4,ûa Äw³Æ¬ã¨s©Ò»Ýªº§÷®Æ
5,ûa ÀËÅç¤ì¬´¨ÑÀ³ªº¥i«ùÄò©Ê
6,ûa »s§@³q¥Î«¬§É¨ã
7,ûa »s§@Á¡«¬ÅÖºûªO
8,ûa »s§@¨è¤ì¦K©Ò»Ýªº¤ä´©ª«¸ê
9,ûa Äw³Æ¤u§@¤H­û©Ò»ÝªºµôÁ_¤u¨ã
10,ûa »s§@¶ñ¼g¼Æ¾Ú©Ò»Ýªº¯È±i
11,ûa »s§@¹j¼öªº¤º¹¢§÷®Æ
12,ûa Äw³Æ¦t©z­¸½u©Ò»Ýªº°òÂ¦ª«¸ê
13,ûa »s§@¨Ï¥Î¤F·s§÷®Æªº¦Õ¹¢
14,ûa »s§@¹B°e¸Éµ¹©Ò»Ýªº®e¾¹
15,ûa »s§@«p«¬ÅÖºûªO
16,ûa »s§@Àu½è¹j¼ö§÷®Æ
17,ûa »s§@­@¼ö¾ð¯×
18,ûa »s§@¯à°÷ªø´Á«O¦sªº¯È±i
19,ûa »s§@©~¦í°Ï©Ò»Ýªº´È¤l
20,ûa »s§@¨Ï¥Î¤F¸ÕÅç©Ê§÷®Æªº±Ä¶°¤u¨ã
21,ûa »s§@¥ð®§©Ò»ÝªºÀu½è§É¨ã
22,»s§@°ª­@¤[«¬ÅÖºûªO
23,»s§@³»¯Å¯È±i
24,Äw³Æ¦t©z­¸²î©Ò»Ýªº¹j¼ö§÷®Æ
25,»s§@¤õ¤O±j«lªº¤ì¬´
26,ÀËÅç¤ë­±´Óª«ªº¥[¤u¤èªk
27,¡i°ªÃø¡j¶i¦æ¸ÕÅç©Ò»Ý§÷®Æªº³Ì²×ÀËÅç
28,¡i°ªÃø¡j»s§@¤Àµo­¹ª«©Ò»Ýªº¦«½L
29,¡i°ªÃø¡j»s§@Âù¼h§É
30,¡i°ªÃø¡j»s§@¤u§@»²§U³]³Æ
31,¡i°ªÃø+¡j¸É¥RÀu½è»s§@¤u¨ã
32,¡i°ªÃø+¡j»s§@°ªªÅ§@·~©Ò»Ýªº¸}¤â¬[
33,»s§@¶Ç°Ê¥Îªºªø±ì
34,¡i°ªÃø¡jÄò¡P»s§@¶Ç°Ê¥Îªºªø±ì
35,Äw³Æ¨ã¦³¯S®í©Ê½èªº§÷®Æ
36,¡i°ªÃø¡jÄò¡PÄw³Æ¨ã¦³¯S®í©Ê½èªº§÷®Æ
37,¡i°ªÃø+¡j»s§@¬ã¨s©Ò»Ýªº¤j«¬¤ô¼Ñ
38,¡i°ªÃø¡j»s§@¥ð®§³]¬I©Ò»Ýªº§÷®Æ
39,¡i°ªÃø+¡j»s§@¥ð®§³]¬I©Ò»Ýªº®a¨ã
40,»s§@³fª«¥]¸Ë§÷®Æ
41,¡i°ªÃø¡jÄò¡P»s§@³fª«¥]¸Ë§÷®Æ
42,¡i°ªÃø+¡j»s§@¤ë²y¨®©Ò»Ýªº³fª«¥]¸Ë§÷®Æ
43,¡i°ªÃø+¡j»s§@¥Íª«¿U®Æ
44,¡i°ªÃø+¡jÄò¡P»s§@¥Íª«¿U®Æ
45,¡i°ªÃø+¡j³Ì²×¨BÆJ¡P»s§@¥Íª«¿U®Æ
46,ûa »s§@³q¥Î«¬¸Ë¥ÒªO
47,ûa »s§@¦t©z­¸²î©Ò»Ýªº³Æ¥Î¹s¥ó
48,ûa ÀËÅç¦Xª÷ªº»s§@¤èªk
49,ûa »s§@ªì¯Å©w»s¹s¥ó
50,ûa »s§@³q¥Î«¬ª÷ÄÝ¹s¥ó
51,ûa ¥Í²£¤j¶q¥²»Ý«~
52,ûa »s§@¼Ð·Ç¤Æ«p«¬¸Ë¥ÒªO
53,ûa »s§@¦t©z­¸²î©Ò»Ýªº¶Ç°Ê¶b
54,ûa Äw³Æ¤u§@¤H­û¨Ï¥Îªº¸H¥Û¤u¨ã
55,ûa »s§@¼Ð·Ç¤Æ¦Xª÷¹g°v
56,ûa Äw³Æ¤u§@¤H­û¨Ï¥Îªº¨è¤ì¤u¨ã
57,ûa »s§@¤¤¯Å©w»s¹s¥ó
58,ûa »s§@¹j¼ö³]³Æ
59,ûa »s§@¤ë²y¨®©Ò»Ýªº¶Ç°Ê¶b
60,ûa »s§@¼Ð·Ç¤ÆÁ¡«¬¸Ë¥ÒªO
61,ûa Äw³Æ¤u§@¤H­û¨Ï¥Îªº§M·Ò¤u¨ã
62,ûa »s§@²O¯D©Ò»Ýªº®a¨ã
63,ûa »s§@«CÁC¦¡«KÄâ¤õÄl
64,ûa »s§@©~¦í°Ï¨Ï¥Îªº·Ó©ú³]³Æ
65,ûa »s§@¨Ï¥Î¤F¤ë­±§÷®Æªº¤u¨ã
66,ûa »s§@¨Ï¥Î¤F¤ë­±§÷®Æªº¹s¥ó
67,»s§@­«­n³]¬I©Ò»Ýªº¸Ë¥ÒªO
68,¥[¤uµ}¦³§÷®Æ
69,¸É¥R³]³Æ¬I¤uªº¥²»Ý«~
70,Äw³Æ¤u§@¤H­û¨Ï¥ÎªºÅ±¥Ò¤u¨ã
71,ÀËÅç¹kÅK§÷®Æªº¥[¤u¤èªk
72,¡i°ªÃø¡j­«²{ªF¤è®a¨ã
73,¡i°ªÃø¡j¥[¤uºë±K§÷®Æ
