key,0
#,
offset,0
int32,str
0,
1, 製作通用型纖維板
2, 籌備據點外工作所需的燃料
3, 製作採集所需的飾品
4, 籌備研究所需的材料
5, 檢驗木炭供應的可持續性
6, 製作通用型床具
7, 製作薄型纖維板
8, 製作刻木匠所需的支援物資
9, 籌備工作人員所需的裁縫工具
10, 製作填寫數據所需的紙張
11, 製作隔熱的內飾材料
12, 籌備宇宙飛線所需的基礎物資
13, 製作使用了新材料的耳飾
14, 製作運送補給所需的容器
15, 製作厚型纖維板
16, 製作優質隔熱材料
17, 製作耐熱樹脂
18, 製作能夠長期儲存的紙張
19, 製作居住區所需的椅子
20, 製作使用了試驗性材料的採集工具
21, 製作休息所需的優質床具
22,A-1：製作高耐久型纖維板
23,A-1：製作高級紙張
24,A-1：籌備宇宙飛船所需的隔熱材料
25,A-1：製作火力強勁的木炭
26,A-1：檢驗月面植物的加工方法
27,A-2：進行試驗所需材料的最終檢驗
28,A-2：製作分發食物所需的托盤
29,A-2：製作雙層床
30,A-2：製作工作輔助裝置
31,A-3：補充優質製作工具
32,A-3：製作高空作業所需的腳手架
33,A-1：製作傳動用的長桿
34,A-2：續·製作傳動用的長桿
35,A-1：籌備具有特殊性質的材料
36,A-2：續·籌備具有特殊性質的材料
37,A-3：製作研究所需的大型水槽
38,A-2：製作休息設施所需的材料
39,A-3：製作休息設施所需的傢俱
40,A-1：製作打包貨物所需的材料
41,A-2：續·製作打包貨物所需的材料
42,A-3：製作月球車所需的貨物包裝材料
43,A-3：製作生物燃料
44,A-3：續·製作生物燃料
45,A-3：最終步驟·製作生物燃料
46, 製作通用型裝甲板
47, 製作宇宙飛船所需的備用零件
48, 檢驗合金的製作方法
49, 製作初級定製零件
50, 製作通用型金屬零件
51, 生產大量必需品
52, 製作標準化厚型裝甲板
53, 製作宇宙飛船所需的傳動軸
54, 籌備工作人員使用的碎石工具
55, 製作標準化合金鉚釘
56, 籌備工作人員使用的刻木工具
57, 製作中級定製零件
58, 製作隔熱裝置
59, 製作月球車所需的傳動軸
60, 製作標準化薄型裝甲板
61, 籌備工作人員使用的冶煉工具
62, 製作淋浴所需的傢俱
63, 製作青磷式便攜火爐
64, 製作居住區使用的照明裝置
65, 製作使用了月面材料的工具
66, 製作使用了月面材料的零件
67,A-1：製作重要設施所需的裝甲板
68,A-1：加工稀有材料
69,A-1：補充裝置施工的必需品
70,A-1：籌備工作人員使用的鑄甲工具
71,A-1：檢驗隕鐵材料的加工方法
72,A-2：重現東方傢俱
73,A-2：加工精密材料
74,A-2：補充月門基地的備用品
75,A-2：製作工作輔助裝置
76,A-3：對材料進行耐磨加工
77,A-3：對材料進行抗震加工
78,A-1：製作基地內的備用傢俱
79,A-2：續·製作基地內的備用傢俱
80,A-1：籌備具有特殊性質的材料
81,A-2：續·籌備具有特殊性質的材料
82,A-3：製作研究所需的大型水槽
83,A-2：製作建造宇宙飛船所需的材料
84,A-3：加工建造宇宙飛船所需的材料
85,A-1：製作高效能無人機所需的材料
86,A-2：續·製作高效能無人機所需的材料
87,A-3：製作高效能無人機
88,A-3：製作特種裝備所需的材料
89,A-3：續·製作特種裝備所需的材料
90,A-3：製作特種裝備
91, 製作通用型裝甲板
92, 製作宇宙飛船的備用零件
93, 檢驗合金的製作方法
94, 製作初級定製零件
95, 製作通用型金屬零件
96, 生產大量必需品
97, 製作標準化厚型裝甲板
98, 製作宇宙飛船所需的傳動軸
99, 籌備工作人員使用的烹飪工具
100, 製作標準化鏈條板
101, 籌備防塵裝備
102, 製作中級定製零件
103, 製作隔熱裝置
104, 製作月球車所需的零件
105, 製作標準化薄型裝甲板
106, 續·籌備工作人員使用的烹飪工具
107, 製作茶歇所需的傢俱
108, 製作屋外使用的火爐
109, 製作居住區使用的收納裝置
110, 製作使用了月面材料的工具
111, 製作使用了月面材料的零件
112,A-1：製作重要設施所需的裝甲板
113,A-1：加工稀有材料
114,A-1：補充裝置施工的必需品
115,A-1：籌備導熱優秀的烹飪工具
116,A-1：檢驗隕鐵材料的加工方法
117,A-2：重現香爐
118,A-2：加工精密材料
119,A-2：補充月門基地的備用品
120,A-2：為施工現場提供充足照明
121,A-3：對材料進行耐磨加工
122,A-3：對材料進行抗震加工
123,A-1：製作基地內的備用傢俱
124,A-2：續·製作基地內的備用傢俱
125,A-1：籌備具有特殊性質的材料
126,A-2：續·籌備具有特殊性質的材料
127,A-3：製作重要樣本保管庫
128,A-2：製作建造宇宙飛船所需的材料
129,A-3：加工建造宇宙飛船所需的材料
130,A-1：製作高效能無人機所需的材料
131,A-2：續·製作高效能無人機所需的材料
132,A-3：製作高效能無人機
133,A-3：製作特種裝備所需的材料
134,A-3：續·製作特種裝備所需的材料
135,A-3：製作特種裝備
136, 製作通用型裝甲板
137, 製作宇宙飛船的備用零件
138, 檢驗合金的製作方法
139, 製作初級定製零件
140, 製作通用型金屬零件
141, 生產大量必需品
142, 製作標準化厚型裝甲板
143, 製作宇宙飛船所需的傳動軸
144, 籌備工作人員使用的研磨工具
145, 製作標準化鏈條
146, 籌備護眼裝備
147, 製作中級定製零件
148, 製作散熱裝置
149, 製作月球車所需的零件
150, 製作標準化薄型裝甲板
151, 籌備工作人員使用的裁縫工具
152, 製作觀測所需的傢俱
153, 製作屋內使用的火爐
154, 製作居住區使用的化妝鏡
155, 製作使用了月面材料的工具
156, 製作使用了月面材料的零件
157,A-1：製作重要設施所需的裝甲板
158,A-1：加工稀有材料
159,A-1：補充裝置施工的必需品
160,A-1：籌備鋒利的小刀
161,A-1：檢驗隕鐵材料的加工方法
