key,0,2
#,Name,
offset,0,4
Int32,String,String
0,,0
1000,,
1001,刻木宇宙數據I,0
1002,刻木宇宙數據II,0
1003,刻木宇宙數據III,0
1004,刻木宇宙數據IV,0
1005,鍛鐵宇宙數據I,0
1006,鍛鐵宇宙數據II,0
1007,鍛鐵宇宙數據III,0
1008,鍛鐵宇宙數據IV,0
1009,鑄甲宇宙數據I,0
1010,鑄甲宇宙數據II,0
1011,鑄甲宇宙數據III,0
1012,鑄甲宇宙數據IV,0
1013,雕金宇宙數據I,0
1014,雕金宇宙數據II,0
1015,雕金宇宙數據III,0
1016,雕金宇宙數據IV,0
1017,製革宇宙數據I,0
1018,製革宇宙數據II,0
1019,製革宇宙數據III,0
1020,製革宇宙數據IV,0
1021,裁衣宇宙數據I,0
1022,裁衣宇宙數據II,0
1023,裁衣宇宙數據III,0
1024,裁衣宇宙數據IV,0
1025,鍊金宇宙數據I,0
1026,鍊金宇宙數據II,0
1027,鍊金宇宙數據III,0
1028,鍊金宇宙數據IV,0
1029,烹調宇宙數據I,0
1030,烹調宇宙數據II,0
1031,烹調宇宙數據III,0
1032,烹調宇宙數據IV,0
1033,採礦宇宙數據I,0
1034,採礦宇宙數據II,0
1035,採礦宇宙數據III,0
1036,採礦宇宙數據IV,0
1037,園藝宇宙數據I,0
1038,園藝宇宙數據II,0
1039,園藝宇宙數據III,0
1040,園藝宇宙數據IV,0
1041,捕魚宇宙數據I,0
1042,捕魚宇宙數據II,0
1043,捕魚宇宙數據III,0
1044,捕魚宇宙數據IV,0
1045,刻木宇宙數據V,0
1046,鍛鐵宇宙數據V,0
1047,鑄甲宇宙數據V,0
1048,雕金宇宙數據V,0
1049,製革宇宙數據V,0
1050,裁衣宇宙數據V,0
1051,鍊金宇宙數據V,0
1052,烹調宇宙數據V,0
1053,採礦宇宙數據V,0
1054,園藝宇宙數據V,0
1055,捕魚宇宙數據V,0
1056,刻木宇宙數據VI,0
1057,鍛鐵宇宙數據VI,0
1058,鑄甲宇宙數據VI,0
1059,雕金宇宙數據VI,0
1060,製革宇宙數據VI,0
1061,裁衣宇宙數據VI,0
1062,鍊金宇宙數據VI,0
1063,烹調宇宙數據VI,0
1064,採礦宇宙數據VI,0
1065,園藝宇宙數據VI,0
1066,捕魚宇宙數據VI,0
1067,刻木宇宙數據VII,0
1068,鍛鐵宇宙數據VII,0
1069,鑄甲宇宙數據VII,0
1070,雕金宇宙數據VII,0
1071,製革宇宙數據VII,0
1072,裁衣宇宙數據VII,0
1073,鍊金宇宙數據VII,0
1074,烹調宇宙數據VII,0
1075,採礦宇宙數據VII,0
1076,園藝宇宙數據VII,0
1077,捕魚宇宙數據VII,0
2000,,
2001,刻木初級N-1,0
2002,刻木初級N-2,0
2003,刻木初級N-3,0
2004,刻木初級N-4,0
2005,刻木初級N-5,0
2006,刻木初級N-6,0
2007,刻木初級N-7,0
2008,刻木初級N-8,0
2009,鍛鐵初級N-1,0
2010,鍛鐵初級N-2,0
2011,鍛鐵初級N-3,0
2012,鍛鐵初級N-4,0
2013,鍛鐵初級N-5,0
