key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_001,呼，雖然基地已經完成了，<hex:02100103>但是大家依然都很忙啊……<hex:02100103>不知道什麼時候才能來取呢？
1,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_005,已經獲得了「完成100次月球探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
2,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_002,<hex:022903EB0203>，你好啊。<hex:02100103>如果你什麼時候方便幫忙了，可以來找我一下嗎？
3,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_003,宇宙探索計劃才剛剛起步。<hex:02100103>希望今後你們也可以提供自己的一份力量，<hex:02100103>共同推進計劃的實施。
4,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_004,<hex:022903EB0203>，感謝你的幫助！<hex:02100103>之後等你方便了，可以再來找我嗎？
5,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_006,方便的話，可以再找其他人談談嗎？<hex:02100103>甚至有些人還有著自己的煩惱，<hex:02100103>你如果願意聆聽一下的話就幫大忙了！
6,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_007,<hex:022903EB0203>，你在雅·阿德布議員的視察工作中幫了很大的忙！<hex:02100103>今後的探索計劃也可以請你繼續提供幫助嗎？
7,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_008,已經獲得了「完成50次法恩娜行星探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
8,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_010,哎，明明月球上還有很多工作等著我去做呢……<hex:02100103>不知道誰有時間能幫個忙呢？
9,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_009,想要從法恩娜行星的姆姆珂那裡領取新的支線任務，<hex:02100103>需要先完成憧憬灣的2個支線任務。
10,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_011,<hex:022903EB0203>，在這邊過得還開心嗎？<hex:02100103>如果你方便幫忙了的話，記得再來找我啊！
11,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_012,感謝你幫忙帶著雅·阿德布議員參觀！<hex:02100103>如果你準備好了的話，可以和我談談嗎？
12,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_013,基地のなかに、相談事を抱えた者もいるかもしれません。<hex:02100103>陰ながらも計畫に協力してくれている面々へ、<hex:02100103>よろしく手を貸してやってくださいませネ！
13,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_014,今回も<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>さんには、<hex:02100103>基地の面々へ手を貸していただきましたネ！<hex:02100103>ウチと探索計畫を支えてくださって、感謝しているんですヨ。
14,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_020,あらどうも、<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>さん！<hex:02100103>まだまだお忙しそうですけれど、<hex:02100103>またウチのことも、お手伝いくださいネ！
15,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_015,コスモエクスプローラー計畫に積極的に參加し、計畫実績の、<hex:02100103>「惑星オイジュスのコスモミッションを50回達成する」の取得で、<hex:02100103>ムムッコから新たなサブクエストを受注できます。
16,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_016,はぁ、パエンナに殘してきたお仕事のことも、<hex:02100103>気になって仕方がありませんわネ……。<hex:02100103>どなたか、お時間があればいいんですけれど？
17,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_017,惑星オイジュスでムムッコの新たなサブクエストを受注するには、<hex:02100103>惑星パエンナにて発行される、<hex:02100103>4つのサブクエストのコンプリートが必要となります。
18,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_018,<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>さん、ご調子はいかがです？<hex:02100103>またお手伝いできそうなときに、お聲がけくださいネ！
19,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_019,基地の皆さんへの聞き取り調査、ご協力ありがとうございました！<hex:02100103>さてさて、どのような結果でしたの？
20,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_030,<hex:022903EB0203>，你好呀！<hex:02100103>等你不忙了的時候，可以和我打聲招呼嗎？
21,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_021,<hex:022903EB0203>，你還忙嗎？<hex:02100103>等你手頭不那麼忙了，<hex:02100103>再來和我打聲招呼吧！
22,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_022,<hex:022903EB0203>，你還忙嗎？<hex:02100103>等你手頭不那麼忙了，<hex:02100103>再來和我打聲招呼吧！
23,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_024,<hex:022903EB0203>，你還忙嗎？<hex:02100103>等你手頭不那麼忙了，<hex:02100103>再來和我打聲招呼吧！
24,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_025,多虧了<hex:022903EB0203>有時間幫忙，<hex:02100103>我們的工作進展得特別順利！<hex:02100103>有你這樣的好幫手，是我這個專案經理的幸事！
25,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_026,<hex:022903EB0203>，你最近還在忙嗎？<hex:02100103>看你還是騰不出手呢，<hex:02100103>但要是你願意，還請再來幫幫我呀！
26,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_027,已經獲得了「完成50次奧克塞西亞探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
27,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_028,哎真是的……俄匊斯行星還有沒完成的任務……<hex:02100103>雖然也可以讓熟練工回去做，但是誰有這樣的時間呢……
28,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_029,想要從奧克塞西亞行星的姆姆珂那裡領取新的支線任務，<hex:02100103>需要先完成俄匊斯行星的3個支線任務。
29,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_023,（★未使用／削除予定★）
